 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,39941.346,290.583,39999,37984,40379,A,1,39941.346
2,12640000,39882.893,293.486,39942,37806,40204,A,2,39882.893
3,12640000,39720.831,353.264,39840,37906,40142,A,3,39720.831
4,12640000,39501.200,456.970,39613,36839,42659,A,4,39501.200
5,12640000,38998.160,346.971,39002,37174,39524,A,5,38998.160
6,12640000,38943.809,391.314,39090,36842,39546,A,6,38943.809
7,12640000,38764.198,265.088,38762,37333,39389,A,7,38764.198
8,12640000,38648.403,282.542,38750,36976,39085,A,8,38648.403
9,12640000,38692.372,192.619,38768,37276,39038,A,9,38692.372
10,12640000,38518.330,274.697,38607,36619,39316,A,10,38518.330
11,12640000,38460.144,222.684,38564,37176,38845,A,11,38460.144
12,12640000,38245.873,334.371,38339,36379,38779,A,12,38245.873
13,12640000,40334.873,223.261,40269,38768,40731,B,1,40334.873
14,12640000,40162.279,279.142,40232,38910,41440,B,2,40162.279
15,12640000,39990.422,205.826,40083,39314,40441,B,3,39990.422
16,12640000,39739.908,269.579,39890,38436,40216,B,4,39739.908
17,12640000,39463.256,343.340,39269,37718,40322,B,5,39463.256
18,12640000,39240.491,287.830,39048,37934,40031,B,6,39240.491
19,12640000,39121.554,261.372,39258,37990,39691,B,7,39121.554
20,12640000,38924.141,226.595,39137,38060,39329,B,8,38924.141
21,12640000,38850.928,247.671,38959,38002,39444,B,9,38850.928
22,12640000,38825.066,188.077,38869,38028,39263,B,10,38825.066
23,12640000,38885.430,214.530,38860,38208,39411,B,11,38885.430
24,12640000,38811.452,318.423,38806,36998,39351,B,12,38811.452
25,12640000,40366.007,201.120,40243,39406,40739,C,1,40366.007
26,12640000,40203.763,249.472,40293,39240,40638,C,2,40203.763
27,12640000,39971.373,200.108,39854,39203,41069,C,3,39971.373
28,12640000,39799.544,213.853,39763,38723,40240,C,4,39799.544
29,12640000,39449.139,253.891,39440,38232,39952,C,5,39449.139
30,12640000,39399.836,240.372,39334,38167,39929,C,6,39399.836
31,12640000,38910.184,211.684,38832,38254,39385,C,7,38910.184
32,12640000,38789.624,146.377,38781,38237,39231,C,8,38789.624
33,12640000,38880.319,257.282,38882,38073,39550,C,9,38880.319
34,12640000,38816.188,182.892,38891,38199,39225,C,10,38816.188
35,12640000,38781.650,160.147,38795,38137,39266,C,11,38781.650
36,12640000,38716.176,280.208,38874,37470,39194,C,12,38716.176
37,12640000,38842.474,336.390,38972,36808,40017,D,1,38842.474
38,12640000,38822.448,245.527,38920,37759,39360,D,2,38822.448
39,12640000,38802.674,199.725,38788,38055,39355,D,3,38802.674
40,12640000,38699.555,235.087,38695,37782,39251,D,4,38699.555
41,12640000,38672.643,172.174,38794,38193,39106,D,5,38672.643
42,12640000,38717.413,164.090,38703,38164,39328,D,6,38717.413
43,12640000,38685.528,160.868,38676,38234,39194,D,7,38685.528
44,12640000,38663.086,217.976,38869,37974,39387,D,8,38663.086
45,12640000,38759.935,246.320,38830,38111,39366,D,9,38759.935
46,12640000,38827.294,141.415,38938,38413,39174,D,10,38827.294
47,12640000,38876.570,121.632,38898,38497,39194,D,11,38876.570
48,12640000,38773.517,208.585,38590,37975,39294,D,12,38773.517
49,12640000,38865.737,234.363,38997,37738,39474,E,1,38865.737
50,12640000,38746.600,327.191,38850,37933,39343,E,2,38746.600
51,12640000,38674.116,226.491,38925,38020,39145,E,3,38674.116
52,12640000,38677.913,164.860,38593,38039,39131,E,4,38677.913
53,12640000,38594.775,220.223,38528,37960,39129,E,5,38594.775
54,12640000,38749.123,196.401,38747,38269,39214,E,6,38749.123
55,12640000,38713.962,220.467,38782,38005,39208,E,7,38713.962
56,12640000,38538.014,276.798,38722,37554,39039,E,8,38538.014
57,12640000,38625.352,260.024,38785,37795,39234,E,9,38625.352
58,12640000,38755.884,240.800,38623,38244,39368,E,10,38755.884
59,12640000,38692.669,216.912,38775,38135,41818,E,11,38692.669
60,12640000,38758.871,213.430,38677,38096,39190,E,12,38758.871
61,12640000,38699.535,219.454,38475,38125,39221,F,1,38699.535
62,12640000,38686.595,202.579,38805,38103,39142,F,2,38686.595
63,12640000,38665.840,155.815,38742,37890,38975,F,3,38665.840
64,12640000,38632.531,255.939,38762,37808,39117,F,4,38632.531
65,12640000,38654.891,160.086,38723,38166,39103,F,5,38654.891
66,12640000,38737.197,205.501,38867,38160,39629,F,6,38737.197
67,12640000,38807.456,233.102,39049,37986,39297,F,7,38807.456
68,12640000,38762.245,180.098,38780,38239,39242,F,8,38762.245
69,12640000,38727.729,174.431,38643,38303,39360,F,9,38727.729
70,12640000,38822.211,387.144,38679,38266,46429,F,10,38822.211
71,12640000,38749.036,128.439,38834,38385,39155,F,11,38749.036
72,12640000,38852.348,257.738,38940,37959,39430,F,12,38852.348
73,12640000,31248.750,157.811,31268,30668,31735,G,1,31248.750
74,12640000,30976.817,111.644,30948,30638,31321,G,2,30976.817
75,12640000,30834.699,114.285,30790,30435,31179,G,3,30834.699
76,12640000,38576.663,132.800,38577,38088,38892,G,4,38576.663
77,12640000,37925.532,286.955,37949,37141,38856,G,5,37925.532
78,12640000,38839.407,172.582,38817,38417,41462,G,6,38839.407
79,12640000,40567.268,248.109,40638,39840,41239,G,7,40567.268
80,12640000,40412.136,225.759,40333,39877,41160,G,8,40412.136
81,12640000,40658.639,262.394,40780,39845,41421,G,9,40658.639
82,12640000,30407.228,146.978,30302,29930,30988,G,10,30407.228
83,12640000,30505.286,149.036,30547,29921,31041,G,11,30505.286
84,12640000,30821.794,191.791,30833,30289,31480,G,12,30821.794
85,12640000,31257.858,143.392,31325,30735,31655,H,1,31257.858
86,12640000,30690.653,131.572,30616,30111,31131,H,2,30690.653
87,12640000,30449.193,135.666,30444,29997,31366,H,3,30449.193
88,12640000,30538.876,168.591,30495,29890,31066,H,4,30538.876
89,12640000,30224.704,126.756,30150,29677,30637,H,5,30224.704
90,12640000,30333.270,138.728,30354,29907,30802,H,6,30333.270
91,12640000,30443.663,167.169,30324,29909,30986,H,7,30443.663
92,12640000,30532.676,207.811,30465,29987,31343,H,8,30532.676
93,12640000,30779.549,131.794,30756,30438,31317,H,9,30779.549
94,12640000,30601.438,197.291,30523,30091,31150,H,10,30601.438
95,12640000,30633.733,169.671,30658,30184,31277,H,11,30633.733
96,12640000,31449.412,292.287,31178,30518,32180,H,12,31449.412
