 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,48715.464,269.104,48756,46839,49145,A,1,48715.464
2,12640000,48775.662,222.226,48849,47192,49034,A,2,48775.662
3,12640000,48799.909,251.143,48860,47134,49243,A,3,48799.909
4,12640000,48754.581,337.326,48543,46803,49298,A,4,48754.581
5,12640000,48852.876,197.449,48954,47675,49146,A,5,48852.876
6,12640000,48497.697,374.861,48753,45948,48849,A,6,48497.697
7,12640000,48776.780,307.861,48742,46765,49291,A,7,48776.780
8,12640000,48913.482,222.580,49019,47574,49294,A,8,48913.482
9,12640000,48599.518,124.793,48604,48070,48833,A,9,48599.518
10,12640000,48979.400,536.777,49089,46044,51660,A,10,48979.400
11,12640000,48710.084,441.337,48829,46286,49328,A,11,48710.084
12,12640000,48704.313,386.633,48667,46239,49435,A,12,48704.313
13,12640000,49050.581,382.009,49366,46970,49417,B,1,49050.581
14,12640000,48721.655,632.703,49001,44924,49326,B,2,48721.655
15,12640000,48782.323,606.285,49241,45047,49406,B,3,48782.323
16,12640000,48830.665,586.343,48924,44951,49462,B,4,48830.665
17,12640000,48618.718,584.264,48917,44696,49211,B,5,48618.718
18,12640000,48854.722,577.151,49199,45244,49501,B,6,48854.722
19,12640000,48660.998,608.844,48774,44615,49456,B,7,48660.998
20,12640000,48606.077,640.757,48880,44512,49352,B,8,48606.077
21,12640000,48934.799,627.491,49258,44652,49568,B,9,48934.799
22,12640000,48847.191,534.175,49027,45322,49269,B,10,48847.191
23,12640000,48966.011,530.221,48970,45697,49607,B,11,48966.011
24,12640000,48987.970,433.860,48694,46980,49770,B,12,48987.970
25,12640000,49185.817,259.452,49348,47800,49541,C,1,49185.817
26,12640000,48883.603,608.169,49240,45067,49482,C,2,48883.603
27,12640000,48855.812,561.415,49286,45460,49466,C,3,48855.812
28,12640000,48847.797,842.488,49195,42101,49632,C,4,48847.797
29,12640000,48893.486,611.399,49426,45060,49542,C,5,48893.486
30,12640000,48963.237,661.416,49239,44867,49832,C,6,48963.237
31,12640000,49075.035,637.843,49548,45469,49764,C,7,49075.035
32,12640000,48857.291,627.612,48887,44907,49538,C,8,48857.291
33,12640000,49086.382,630.167,49486,45013,49634,C,9,49086.382
34,12640000,49049.488,625.523,49058,45320,49856,C,10,49049.488
35,12640000,49127.792,638.442,49568,45508,49843,C,11,49127.792
36,12640000,49041.930,487.908,48688,46742,49920,C,12,49041.930
37,12640000,48283.557,481.662,48265,45961,49225,D,1,48283.557
38,12640000,48700.737,576.981,48748,45655,49433,D,2,48700.737
39,12640000,48674.154,524.000,49035,45516,49380,D,3,48674.154
40,12640000,48851.193,521.891,49021,45589,49361,D,4,48851.193
41,12640000,48835.540,734.175,49228,44236,49618,D,5,48835.540
42,12640000,48945.873,631.963,48962,44784,49649,D,6,48945.873
43,12640000,49025.880,636.598,49228,45282,49737,D,7,49025.880
44,12640000,48996.807,560.165,48870,45553,49598,D,8,48996.807
45,12640000,49076.926,643.099,49290,45269,50019,D,9,49076.926
46,12640000,48976.624,638.017,49310,45096,49635,D,10,48976.624
47,12640000,48984.741,492.868,49155,45433,49512,D,11,48984.741
48,12640000,49126.341,348.291,48944,47417,49662,D,12,49126.341
