 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,40597.141,211.116,40621,39108,40867,A,1,40597.141
2,12640000,40367.593,338.228,40508,38155,40777,A,2,40367.593
3,12640000,40244.460,290.398,40330,38494,40540,A,3,40244.460
4,12640000,39729.597,312.405,39784,37806,40037,A,4,39729.597
5,12640000,39532.324,288.117,39605,37670,39943,A,5,39532.324
6,12640000,39316.024,261.052,39340,37724,39605,A,6,39316.024
7,12640000,39160.193,297.141,39294,37263,39515,A,7,39160.193
8,12640000,38955.479,229.440,39018,37136,40811,A,8,38955.479
9,12640000,39243.169,193.756,39296,37812,41723,A,9,39243.169
10,12640000,39224.395,273.082,39258,37118,39718,A,10,39224.395
11,12640000,39129.907,362.547,39286,36954,39541,A,11,39129.907
12,12640000,39073.138,414.484,39245,36644,39678,A,12,39073.138
13,12640000,40505.539,226.264,40493,38702,40862,B,1,40505.539
14,12640000,40238.513,282.479,40349,38674,40576,B,2,40238.513
15,12640000,40068.792,299.783,40170,38554,41591,B,3,40068.792
16,12640000,39878.011,206.060,39900,38712,40158,B,4,39878.011
17,12640000,39602.204,266.196,39704,38323,40665,B,5,39602.204
18,12640000,39212.967,290.006,39126,38037,39715,B,6,39212.967
19,12640000,39270.157,138.851,39339,38668,39683,B,7,39270.157
20,12640000,38843.156,276.972,38895,37295,39713,B,8,38843.156
21,12640000,39037.127,293.127,39073,37351,39536,B,9,39037.127
22,12640000,39121.721,266.375,39198,37493,39613,B,10,39121.721
23,12640000,39055.671,256.179,39205,37641,39489,B,11,39055.671
24,12640000,39016.030,296.208,39092,37544,39594,B,12,39016.030
25,12640000,40564.435,186.105,40629,39633,40898,C,1,40564.435
26,12640000,40301.513,235.099,40283,39179,40819,C,2,40301.513
27,12640000,40119.856,176.134,40030,39538,40908,C,3,40119.856
28,12640000,39857.013,180.040,40027,39082,40406,C,4,39857.013
29,12640000,39643.151,168.170,39646,39015,40039,C,5,39643.151
30,12640000,39313.275,186.516,39293,38540,39809,C,6,39313.275
31,12640000,39160.301,134.221,39157,38677,39561,C,7,39160.301
32,12640000,38951.744,201.186,39073,37958,39344,C,8,38951.744
