 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,44742.275,193.518,44742,43834,45160,A,1,44742.275
2,12640000,44561.112,260.835,44660,43059,45035,A,2,44561.112
3,12640000,44573.764,217.431,44667,43107,44916,A,3,44573.764
4,12640000,44612.563,268.387,44701,43239,44980,A,4,44612.563
5,12640000,44539.494,220.886,44594,43272,45110,A,5,44539.494
6,12640000,44685.775,196.22,44653,43507,45120,A,6,44685.775
7,12640000,44588.499,215.534,44560,43621,45090,A,7,44588.499
8,12640000,44558.085,197.385,44619,43806,44956,A,8,44558.085
9,12640000,44619.242,180.659,44569,43965,45023,A,9,44619.242
10,12640000,44647.068,182.999,44783,43899,45072,A,10,44647.068
11,12640000,44628.684,237.869,44687,43309,44965,A,11,44628.684
12,12640000,44646.395,264.563,44965,43509,45017,A,12,44646.395
13,12640000,44825.544,235.33,44743,43758,45292,B,1,44825.544
14,12640000,44578.631,334.38,44752,42623,45089,B,2,44578.631
15,12640000,44503.546,292.488,44661,42651,44967,B,3,44503.546
16,12640000,44522.34,295.072,44676,42616,45404,B,4,44522.34
17,12640000,44438.097,281.146,44430,42433,44935,B,5,44438.097
18,12640000,44516.824,277.764,44668,42548,44970,B,6,44516.824
19,12640000,44459.012,320.713,44481,42225,44897,B,7,44459.012
20,12640000,44411.493,267.756,44425,42435,44762,B,8,44411.493
21,12640000,44565.524,282.773,44540,42725,44992,B,9,44565.524
22,12640000,44549.528,283.806,44607,42684,45006,B,10,44549.528
23,12640000,44586.954,281.334,44784,42752,44926,B,11,44586.954
24,12640000,44547.154,285.635,44455,42991,45017,B,12,44547.154
25,12640000,44769.938,352.346,44658,42904,45447,C,1,44769.938
26,12640000,44458.787,375.364,44196,42515,45219,C,2,44458.787
27,12640000,44475.842,438.975,44740,42221,45189,C,3,44475.842
28,12640000,44436.46,309.431,44816,42475,45035,C,4,44436.46
29,12640000,44457.663,331.69,44584,42334,45146,C,5,44457.663
30,12640000,44584.471,306.261,44678,43204,45320,C,6,44584.471
31,12640000,44531.914,266.575,44416,43061,45233,C,7,44531.914
32,12640000,44549.698,364.4,44335,42524,45185,C,8,44549.698
33,12640000,44530.285,357.345,44544,42526,45997,C,9,44530.285
34,12640000,44558.584,323.855,44410,42616,45216,C,10,44558.584
35,12640000,44577.252,317.734,44738,42565,45065,C,11,44577.252
36,12640000,44607.826,279.259,44456,43441,45124,C,12,44607.826
37,12640000,44846.361,339.81,44867,43690,45509,D,1,44846.361
38,12640000,44729.321,324.151,44655,42757,45292,D,2,44729.321
39,12640000,44406.358,451.45,44161,41860,45077,D,3,44406.358
40,12640000,44439.662,369.832,44100,42518,45068,D,4,44439.662
41,12640000,44559.821,335.32,44447,42422,45088,D,5,44559.821
42,12640000,44533.584,340.411,44824,42561,45009,D,6,44533.584
43,12640000,44467.617,308.423,44564,42599,44944,D,7,44467.617
44,12640000,44446.333,363.207,44631,42206,45059,D,8,44446.333
45,12640000,44414.737,358.855,44167,42034,45004,D,9,44414.737
46,12640000,44587.676,342.495,44720,42133,45134,D,10,44587.676
47,12640000,44627.035,314.634,44734,42557,45194,D,11,44627.035
48,12640000,44586.256,299.293,44382,43259,45147,D,12,44586.256
49,12640000,44853.911,296.084,44593,43922,45396,E,1,44853.911
50,12640000,44568.807,386.652,44751,42330,45224,E,2,44568.807
51,12640000,44587.934,430.527,44162,42700,45220,E,3,44587.934
52,12640000,44509.945,325.445,44383,42547,45043,E,4,44509.945
53,12640000,44483.649,381.522,44706,41983,44971,E,5,44483.649
54,12640000,44593.304,336.083,44857,42766,45158,E,6,44593.304
55,12640000,44476.945,303.254,44687,42750,44976,E,7,44476.945
56,12640000,44477.529,361.906,44258,42209,44983,E,8,44477.529
57,12640000,44448.151,331.547,44587,42313,44903,E,9,44448.151
58,12640000,44546.407,387.797,44816,41923,45137,E,10,44546.407
59,12640000,43242.149,2631.644,45001,35393,45338,E,11,43242.149
60,12640000,44625.604,296.364,44409,43375,45200,E,12,44625.604
61,12640000,44986.074,362.397,45157,43664,45618,F,1,44986.074
62,12640000,44525.525,402.975,44677,42868,45180,F,2,44525.525
63,12640000,44517.19,526.242,44843,41609,45280,F,3,44517.19
64,12640000,44610.316,386.051,44792,42459,45213,F,4,44610.316
65,12640000,44585.309,409.933,44268,42390,45207,F,5,44585.309
66,12640000,44439.915,398.375,44080,42323,45060,F,6,44439.915
67,12640000,44486.272,374.314,44804,42328,45163,F,7,44486.272
68,12640000,44454.042,348.401,44779,42722,45040,F,8,44454.042
69,12640000,44388.366,288.63,44286,42663,44942,F,9,44388.366
70,12640000,44515.369,341.087,44735,42673,45434,F,10,44515.369
71,12640000,44521.47,262.632,44505,43244,45016,F,11,44521.47
72,12640000,44679.153,292.109,44531,43667,45237,F,12,44679.153
73,12640000,31961.146,169.408,31854,31479,32516,G,1,31961.146
74,12640000,31590.064,242.517,31425,30928,32395,G,2,31590.064
