 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,47212.195,387.017,47412,44630,47546,A,1,47212.195
2,12640000,46080.330,395.509,46358,43773,46410,A,2,46080.330
3,12640000,47876.575,351.322,48073,45985,48321,A,3,47876.575
4,12640000,50967.525,239.131,51057,49154,51254,A,4,50967.525
5,12640000,50672.060,435.580,50872,47769,51050,A,5,50672.060
6,12640000,53577.583,132.034,53704,53105,53776,A,6,53577.583
7,12640000,50524.653,297.559,50609,48738,50806,A,7,50524.653
8,12640000,50572.572,323.152,50620,48721,51114,A,8,50572.572
9,12640000,50560.119,330.900,50781,48492,50905,A,9,50560.119
10,12640000,50601.665,317.929,50582,48780,50955,A,10,50601.665
11,12640000,50684.203,422.386,50944,48094,51176,A,11,50684.203
12,12640000,50742.305,371.294,50640,48766,51488,A,12,50742.305
13,12640000,48674.798,462.619,48777,45959,49310,B,1,48674.798
14,12640000,48447.543,326.181,48636,46506,48775,B,2,48447.543
15,12640000,48595.445,324.555,48675,46472,49033,B,3,48595.445
16,12640000,50918.102,454.093,51116,48100,51294,B,4,50918.102
17,12640000,50699.743,494.408,50987,47653,51107,B,5,50699.743
18,12640000,53410.157,363.558,53634,50443,53695,B,6,53410.157
19,12640000,50568.073,517.760,50612,47006,51097,B,7,50568.073
20,12640000,50634.732,507.055,50750,47093,51087,B,8,50634.732
21,12640000,50581.587,569.483,50790,46929,51060,B,9,50581.587
22,12640000,50679.555,542.405,50913,46810,51109,B,10,50679.555
23,12640000,50737.949,515.999,50916,46578,51202,B,11,50737.949
24,12640000,50757.911,495.531,50774,48259,51424,B,12,50757.911
25,12640000,49010.864,440.695,49067,46369,49505,C,1,49010.864
26,12640000,49102.320,260.488,49071,48345,49606,C,2,49102.320
27,12640000,48982.117,268.256,49062,47854,49381,C,3,48982.117
28,12640000,51060.210,217.050,51131,50201,52394,C,4,51060.210
29,12640000,50885.277,157.111,50920,50141,51148,C,5,50885.277
30,12640000,53494.733,322.465,53700,52218,53877,C,6,53494.733
31,12640000,50799.337,183.607,50767,50092,51147,C,7,50799.337
32,12640000,50913.449,219.159,51015,50072,51286,C,8,50913.449
33,12640000,50951.193,268.618,50937,49313,51431,C,9,50951.193
34,12640000,50977.292,428.312,51106,48639,51502,C,10,50977.292
35,12640000,50945.525,391.790,50946,49437,51500,C,11,50945.525
36,12640000,50826.579,368.683,51162,49357,51435,C,12,50826.579
37,12640000,27199.182,77.869,27180,26928,27482,D,1,27199.182
38,12640000,27209.395,896.325,26799,26619,34147,D,2,27209.395
39,12640000,27130.243,975.750,26748,26557,33878,D,3,27130.243
40,12640000,26850.335,314.572,26640,26445,28324,D,4,26850.335
41,12640000,27251.936,1715.078,26608,26406,36680,D,5,27251.936
42,12640000,27141.922,1274.533,26652,26334,35540,D,6,27141.922
43,12640000,27035.296,1181.436,26503,26346,35846,D,7,27035.296
44,12640000,26890.922,884.356,26492,26285,32770,D,8,26890.922
45,12640000,26776.294,750.383,26368,26236,34239,D,9,26776.294
46,12640000,27442.170,2237.621,26483,26255,38231,D,10,27442.170
47,12640000,26873.929,778.927,26464,26255,32514,D,11,26873.929
48,12640000,27647.078,2437.744,26442,26283,38497,D,12,27647.078
49,12640000,27246.700,81.357,27249,26977,27528,E,1,27246.700
50,12640000,27092.013,429.711,26911,26690,29017,E,2,27092.013
51,12640000,27030.497,428.552,26846,26607,28993,E,3,27030.497
52,12640000,27043.915,498.759,26792,26569,29168,E,4,27043.915
53,12640000,26866.710,529.547,26570,26425,29021,E,5,26866.710
54,12640000,26886.868,440.182,26645,26479,28995,E,6,26886.868
55,12640000,26941.232,462.801,26655,26438,28966,E,7,26941.232
56,12640000,26760.045,478.192,26486,26312,28851,E,8,26760.045
57,12640000,26804.401,462.267,26595,26374,28587,E,9,26804.401
58,12640000,26859.657,540.948,26528,26390,28945,E,10,26859.657
59,12640000,26843.501,388.386,26581,26421,28689,E,11,26843.501
60,12640000,27003.653,587.838,26656,26469,29631,E,12,27003.653
61,12640000,27476.501,68.512,27460,27259,27729,F,1,27476.501
62,12640000,27331.233,70.259,27299,27149,27631,F,2,27331.233
63,12640000,27288.079,57.322,27246,27072,27483,F,3,27288.079
64,12640000,27337.967,513.121,27014,26816,29587,F,4,27337.967
65,12640000,27046.472,474.512,26777,26563,29073,F,5,27046.472
66,12640000,27234.366,961.606,26804,26673,33960,F,6,27234.366
67,12640000,27158.002,936.695,26738,26639,34827,F,7,27158.002
