 ,Area,Mean,StdDev,Mode,Min,Max,Row,Column,Absorbance
1,12640000,49282.183,259.933,49437,48070,49727,A,1,49282.183
2,12640000,49369.941,255.668,49309,47961,49736,A,2,49369.941
3,12640000,52178.091,255.520,52288,51043,52607,A,3,52178.091
4,12640000,49593.850,256.065,49641,48648,50141,A,4,49593.850
5,12640000,49499.852,218.795,49533,48617,49923,A,5,49499.852
6,12640000,49483.198,235.496,49677,48323,49934,A,6,49483.198
7,12640000,49635.558,433.712,49692,47435,50514,A,7,49635.558
8,12640000,49776.106,238.337,49849,48873,50112,A,8,49776.106
9,12640000,49713.890,261.491,49858,48600,50073,A,9,49713.890
10,12640000,49715.768,207.530,49910,48884,50323,A,10,49715.768
11,12640000,49565.708,302.328,49692,48239,50068,A,11,49565.708
12,12640000,49382.770,424.354,49383,47445,50176,A,12,49382.770
13,12640000,49371.884,297.774,49608,48001,49845,B,1,49371.884
14,12640000,49728.193,280.849,49822,47555,50030,B,2,49728.193
15,12640000,52358.238,201.026,52521,51597,52806,B,3,52358.238
16,12640000,49557.532,479.407,49679,47095,50257,B,4,49557.532
17,12640000,49587.565,461.192,49680,46666,50231,B,5,49587.565
18,12640000,49675.869,404.566,49729,46985,50156,B,6,49675.869
19,12640000,49838.653,381.315,49969,47182,50345,B,7,49838.653
20,12640000,49955.332,312.416,50083,47818,50395,B,8,49955.332
21,12640000,49952.495,234.230,50047,48385,50404,B,9,49952.495
22,12640000,49583.331,441.765,49668,46585,50046,B,10,49583.331
23,12640000,49695.524,336.626,49680,47631,50171,B,11,49695.524
24,12640000,49504.669,329.116,49391,47970,50253,B,12,49504.669
25,12640000,49226.594,321.593,49275,47792,53006,C,1,49226.594
26,12640000,49316.900,523.966,49370,45786,49814,C,2,49316.900
27,12640000,52272.546,244.861,52444,51245,52575,C,3,52272.546
28,12640000,49237.017,443.445,49227,46217,49885,C,4,49237.017
29,12640000,49292.539,485.294,49300,46182,49956,C,5,49292.539
30,12640000,49320.694,609.103,49696,45701,49987,C,6,49320.694
31,12640000,49253.759,557.484,49513,45483,49764,C,7,49253.759
32,12640000,49510.798,522.392,49680,45893,50076,C,8,49510.798
33,12640000,49633.100,511.987,49993,46595,50139,C,9,49633.100
34,12640000,49290.688,555.376,49525,45742,49802,C,10,49290.688
35,12640000,49170.579,550.840,49591,45734,49737,C,11,49170.579
36,12640000,49327.656,394.349,49440,47156,50074,C,12,49327.656
37,12640000,49552.112,239.819,49646,48721,49924,D,1,49552.112
38,12640000,49666.330,548.108,49962,46595,50242,D,2,49666.330
39,12640000,52311.518,312.961,52532,50817,52717,D,3,52311.518
40,12640000,49645.281,414.693,49720,46591,50057,D,4,49645.281
41,12640000,49735.848,414.810,49818,47066,50308,D,5,49735.848
42,12640000,49750.929,476.457,49552,46675,50449,D,6,49750.929
43,12640000,49930.628,583.451,50116,46342,50534,D,7,49930.628
44,12640000,50031.415,520.373,50338,46402,50847,D,8,50031.415
45,12640000,49965.415,560.548,50292,46063,50522,D,9,49965.415
46,12640000,50012.485,552.809,49986,46037,50520,D,10,50012.485
47,12640000,49843.369,540.317,49952,46319,50418,D,11,49843.369
48,12640000,49939.003,346.160,49710,48413,50618,D,12,49939.003
49,12640000,49524.053,266.361,49660,48417,50003,E,1,49524.053
50,12640000,49795.847,417.770,49953,47471,50335,E,2,49795.847
51,12640000,52461.087,207.731,52628,51636,52766,E,3,52461.087
52,12640000,49758.478,455.838,49707,46585,50328,E,4,49758.478
53,12640000,49802.812,343.534,49890,47106,50268,E,5,49802.812
54,12640000,49532.085,536.852,49926,45911,50144,E,6,49532.085
55,12640000,50077.053,585.059,50384,46414,50574,E,7,50077.053
56,12640000,50227.584,455.501,49990,47451,50786,E,8,50227.584
57,12640000,49977.227,562.605,50299,46386,50451,E,9,49977.227
58,12640000,50099.691,489.095,50208,46866,50617,E,10,50099.691
59,12640000,50347.820,247.408,50555,49567,50749,E,11,50347.820
60,12640000,50072.134,382.722,50041,47990,50794,E,12,50072.134
61,12640000,49491.228,247.608,49453,48434,49968,F,1,49491.228
62,12640000,49823.034,294.654,50067,47800,50198,F,2,49823.034
63,12640000,52469.362,210.996,52469,51635,52775,F,3,52469.362
64,12640000,49865.931,421.361,49736,47441,50556,F,4,49865.931
65,12640000,49851.459,360.964,49776,47546,50659,F,5,49851.459
66,12640000,49894.881,437.590,49722,47138,50435,F,6,49894.881
67,12640000,50175.841,409.623,50351,47015,50552,F,7,50175.841
68,12640000,50199.660,477.649,50157,46914,50617,F,8,50199.660
69,12640000,50289.859,351.160,50559,48296,50801,F,9,50289.859
70,12640000,50309.092,396.754,50527,47907,50849,F,10,50309.092
71,12640000,50429.733,283.223,50668,49343,50940,F,11,50429.733
72,12640000,50130.561,391.715,49956,48068,50922,F,12,50130.561
73,12640000,27639.991,78.158,27641,27403,27916,G,1,27639.991
74,12640000,27465.562,358.107,27406,27210,33905,G,2,27465.562
75,12640000,27344.778,64.932,27363,27121,27541,G,3,27344.778
76,12640000,50349.874,410.080,50614,49105,51090,G,4,50349.874
77,12640000,50397.544,305.083,50554,49417,50845,G,5,50397.544
78,12640000,50554.214,446.096,50663,48932,51474,G,6,50554.214
79,12640000,50391.248,271.690,50723,49417,50791,G,7,50391.248
80,12640000,50639.822,396.707,50906,48997,51145,G,8,50639.822
81,12640000,50332.658,319.566,50252,49008,50907,G,9,50332.658
82,12640000,27494.079,63.799,27500,27303,27711,G,10,27494.079
83,12640000,27470.488,67.666,27447,27235,27715,G,11,27470.488
84,12640000,27473.632,77.935,27429,27273,27766,G,12,27473.632
85,12640000,28110.873,63.562,28090,27949,28415,H,1,28110.873
86,12640000,27696.312,64.971,27686,27486,27976,H,2,27696.312
87,12640000,27606.487,57.156,27579,27412,27857,H,3,27606.487
88,12640000,27639.677,62.150,27663,27457,27867,H,4,27639.677
89,12640000,27590.994,67.789,27559,27397,27868,H,5,27590.994
90,12640000,27633.312,95.933,27558,27451,28053,H,6,27633.312
91,12640000,27712.574,119.165,27689,27456,28089,H,7,27712.574
92,12640000,27782.683,110.296,27765,27518,28162,H,8,27782.683
93,12640000,27752.502,84.883,27736,27526,28939,H,9,27752.502
94,12640000,27610.673,60.296,27613,27432,27810,H,10,27610.673
95,12640000,27537.181,76.839,27552,27293,27739,H,11,27537.181
96,12640000,27798.160,81.990,27784,27501,28017,H,12,27798.160
